permit_type,issue_date,property_address,owner_name,owner_first_name,owner_last_name,job_valuation
Re-Roof Permit,2026-05-01,"115 LANCASTER DR, DAVENPORT FL 33897",Login | Register,Login,| Register,12000.00
Re-Roof Permit,2026-05-01,"521 S 7TH ST, EAGLE LAKE FL 33839",Login | Register,Login,| Register,26875.00
Re-Roof Permit,2026-05-01,"175 MAGELLAN CT, DAVENPORT FL 33837",Login | Register,Login,| Register,23837.00
Re-Roof Permit,2026-05-01,"3801 NW LAKE BLUE DR, WINTER HAVEN FL 33881",Login | Register,Login,| Register,24000.00
Re-Roof Permit,2026-05-01,"426 ARMADA LN, DAVENPORT FL 33837",Login | Register,Login,| Register,19210.00
Re-Roof Permit,2026-05-01,"1736 ITCHEPACKESASSA DR, LAKELAND FL 33810",Login | Register,Login,| Register,32300.00
Re-Roof Permit,2026-05-01,"111 MARCUM RD, LAKELAND FL 33809",Login | Register,Login,| Register,22000.00
Re-Roof Permit,2026-05-01,"9463 MAX FLY DR, LAKELAND FL 33810",Login | Register,Login,| Register,14100.00
Re-Roof Permit,2026-05-01,"1730 LADY BOWERS TRL, LAKELAND FL 33809",Login | Register,Login,| Register,18140.00
Re-Roof Permit,2026-05-01,"9705 LAKE BESS RD, #705, WINTER HAVEN FL 33884",Login | Register,Login,| Register,3690.00
Re-Roof Permit,2026-05-01,"718 STRAIN BLVD, LAKELAND FL 33815",Login | Register,Login,| Register,4500.00
Re-Roof Permit,2026-05-01,"22 E SUN AIR BLVD, HAINES CITY FL 33844",Login | Register,Login,| Register,23100.00
Re-Roof Permit,2026-05-01,"179 MAGELLAN CT, DAVENPORT FL 33837",Login | Register,Login,| Register,26304.00
Re-Roof Permit,2026-05-01,"326 CANAL DR, LAKE WALES FL 33859",Login | Register,Login,| Register,13370.00
Re-Roof Permit,2026-05-01,"1400 BANANA RD, #101, LAKELAND FL 33803",Login | Register,Login,| Register,12490.00
Re-Roof Permit,2026-05-01,"1522 SIR HENRYS TRL, LAKELAND FL 33809",,,,
Re-Roof Permit,2026-05-01,"5002 MEDULLA RD, LAKELAND FL 33811",Login | Register,Login,| Register,12000.00
Re-Roof Permit,2026-04-30,"1100 CAREFREE COVE DR, WINTER HAVEN FL 33881",Login | Register,Login,| Register,7635.00
Re-Roof Permit,2026-04-30,"162 COVENTRY CIR, HAINES CITY FL 33844",Login | Register,Login,| Register,28440.00
Re-Roof Permit,2026-04-30,"802 W SOCRUM LOOP RD, LAKELAND FL 33809",Login | Register,Login,| Register,11870.00
Re-Roof Permit,2026-04-30,"4580 DUBLIN PL, LAKELAND FL 33801",Login | Register,Login,| Register,8500.00
Re-Roof Permit,2026-04-30,"225 SUNNY DAY WAY, DAVENPORT FL 33897",Login | Register,Login,| Register,14000.00
Re-Roof Permit,2026-04-30,"2203 E PALMVIEW CIR, AUBURNDALE FL 33823",Login | Register,Login,| Register,21398.89
Re-Roof Permit,2026-04-30,"446 ARKANSAS CT, POINCIANA FL 34759",Login | Register,Login,| Register,10950.00
Re-Roof Permit,2026-04-30,"214 PARADISE ISLAND DR, HAINES CITY FL 33844",Login | Register,Login,| Register,20000.00
Re-Roof Permit,2026-04-30,"512 OAKPOINT CIR, DAVENPORT FL 33837",Login | Register,Login,| Register,20686.54
Re-Roof Permit,2026-04-30,"251 PATTERSON RD, #C29, HAINES CITY FL 33844",Login | Register,Login,| Register,4900.00
Re-Roof Permit,2026-04-30,"2930 VERMONT AVE, LAKELAND FL 33803",Login | Register,Login,| Register,6000.00
Re-Roof Permit,2026-04-30,"613 NE 4TH ST, FORT MEADE FL 33841",Login | Register,Login,| Register,11585.00
Re-Roof Permit,2026-04-30,"738 CARIBOU DR, POINCIANA FL 34759",Login | Register,Login,| Register,9150.00
Re-Roof Permit,2026-04-30,"5249 MONTSERRAT CT, LAKELAND FL 33812",Login | Register,Login,| Register,15400.00
Re-Roof Permit,2026-04-30,"815 LAKE JESSIE DR, WINTER HAVEN FL 33881",Login | Register,Login,| Register,4250.00
Re-Roof Permit,2026-04-30,"2418 FAN PALM DR, DAVENPORT FL 33897",,,,
Re-Roof Permit,2026-04-30,"1015 INMAN DR, WINTER HAVEN FL 33881",Login | Register,Login,| Register,5478.08
Re-Roof Permit,2026-04-30,"1401 LAKEWOOD RD, LAKELAND FL 33805",Login | Register,Login,| Register,18604.73
Re-Roof Permit,2026-04-30,"621 BLUEBILL LN, #A-B, POINCIANA FL 34759",Login | Register,Login,| Register,16700.00
Re-Roof Permit,2026-04-30,"2807 FAN PALM DR, DAVENPORT FL 33897",,,,
Re-Roof Permit,2026-04-30,"2561 SE 14TH ST, WINTER HAVEN FL 33884",Login | Register,Login,| Register,13441.00
Re-Roof Permit,2026-04-29,"2531 SHINER DR, LAKE WALES FL 33853",Login | Register,Login,| Register,12650.00
Re-Roof Permit,2026-04-29,"792 GILA DR, POINCIANA FL 34759",Login | Register,Login,| Register,17150.00
Re-Roof Permit,2026-04-29,"618 DUNLIN LN, POINCIANA FL 34759",Login | Register,Login,| Register,10530.00
Re-Roof Permit,2026-04-29,"5201 W NICHOLS DR, LAKELAND FL 33813",Login | Register,Login,| Register,6000.00
Re-Roof Permit,2026-04-29,"3965 LIME TREE LN, LAKELAND FL 33813",Login | Register,Login,| Register,22832.68
Re-Roof Permit,2026-04-29,"3611 SOUTHCREST BLVD, LAKELAND FL 33812",Login | Register,Login,| Register,6000.00
Re-Roof Permit,2026-04-29,"8617 BREEZE HILL DR, LAKE WALES FL 33898",Login | Register,Login,| Register,5700.00
Re-Roof Permit,2026-04-29,"5 PERCH DR, POINCIANA FL 34759",Login | Register,Login,| Register,11657.80
Re-Roof Permit,2026-04-29,"2428 NE EDWIN ST, WINTER HAVEN FL 33881",Login | Register,Login,| Register,7750.00
Re-Roof Permit,2026-04-29,"2902 S FORESTGREEN DR, LAKELAND FL 33811",Login | Register,Login,| Register,15567.00
Re-Roof Permit,2026-04-29,"4000 N POYNER OAKS RD, POLK CITY FL 33868",Login | Register,Login,| Register,4800.00
Re-Roof Permit,2026-04-29,"4330 PARK AVE, INDIAN LAKE ESTATES FL 33855",Login | Register,Login,| Register,12700.00
Re-Roof Permit,2026-04-29,"4344 SPRING LN, LAKELAND FL 33811",Login | Register,Login,| Register,19500.00
Re-Roof Permit,2026-04-29,"2911 HARTE DR, LAKE WALES FL 33898",Login | Register,Login,| Register,11614.94
Re-Roof Permit,2026-04-29,"401 CARDINAL CT, POINCIANA FL 34759",Login | Register,Login,| Register,22689.00
Re-Roof Permit,2026-04-29,"605 GAZELLE DR, POINCIANA FL 34759",Login | Register,Login,| Register,8000.00
Re-Roof Permit,2026-04-29,"1416 PERIWINKLE CT, LAKELAND FL 33811",Login | Register,Login,| Register,9856.00
Re-Roof Permit,2026-04-29,"1203 NW 33RD ST, WINTER HAVEN FL 33881",Login | Register,Login,| Register,4000.00
Re-Roof Permit,2026-04-29,"163 JOCELYN DR, DAVENPORT FL 33897",Login | Register,Login,| Register,11500.00
Re-Roof Permit,2026-04-29,"6780 GRAND CENTRAL AVE, MULBERRY FL 33860",Login | Register,Login,| Register,13184.00
Re-Roof Permit,2026-04-29,"115 S PADGETT PL, LAKELAND FL 33809",Login | Register,Login,| Register,10225.00
Re-Roof Permit,2026-04-29,"205 WHITMAN RD, WINTER HAVEN FL 33884",Login | Register,Login,| Register,11900.00
Re-Roof Permit,2026-04-29,"6725 N SOCRUM LOOP RD, LAKELAND FL 33809",Login | Register,Login,| Register,74976.00
Re-Roof Permit,2026-04-29,"2 S LAKE ROY LN, WINTER HAVEN FL 33880",Login | Register,Login,| Register,4000.00
Re-Roof Permit,2026-04-29,"8080 DEER RUN DR, LAKE WALES FL 33898",Login | Register,Login,| Register,7000.00
Re-Roof Permit,2026-04-28,"5024 WASHINGTON ST, LAKE WALES FL 33859",Login | Register,Login,| Register,11000.00
Re-Roof Permit,2026-04-28,"4056 SE CENTRAL AVE, HIGHLAND CITY FL 33846",,,,
Re-Roof Permit,2026-04-28,"2146 HELWYN RD, AUBURNDALE FL 33823",Login | Register,Login,| Register,15000.00
Re-Roof Permit,2026-04-28,"8480 TOMKOW RD, LAKELAND FL 33809",Login | Register,Login,| Register,7700.00
Re-Roof Permit,2026-04-28,"310 NE 17TH ST, WINTER HAVEN FL 33881",,,,
Re-Roof Permit,2026-04-28,"3323 IMPERIAL LN, LAKELAND FL 33812",Login | Register,Login,| Register,29851.00
Re-Roof Permit,2026-04-28,"7404 KESHISHIAN CT, LAKELAND FL 33810",Login | Register,Login,| Register,23000.00
Re-Roof Permit,2026-04-28,"6324 OAK CT, LAKELAND FL 33813",Login | Register,Login,| Register,17890.00
Re-Roof Permit,2026-04-28,"1535 SADDLEHORN DR, LAKELAND FL 33810",Login | Register,Login,| Register,11900.00
Re-Roof Permit,2026-04-28,"1610 REYNOLDS RD, #374, LAKELAND FL 33801",Login | Register,Login,| Register,6500.00
Re-Roof Permit,2026-04-28,"310 NE 17TH ST, WINTER HAVEN FL 33881",Login | Register,Login,| Register,17755.00
Re-Roof Permit,2026-04-28,"169 EMERALDVIEW AVE, DAVENPORT FL 33837",Login | Register,Login,| Register,17641.01
Re-Roof Permit,2026-04-28,"5416 BLOOMFIELD BLVD, LAKELAND FL 33810",Login | Register,Login,| Register,28000.96
Re-Roof Permit,2026-04-28,"705 RIGGS CIR, DAVENPORT FL 33897",Login | Register,Login,| Register,15350.00
Re-Roof Permit,2026-04-28,"244 HIGHGATE PARK BLVD, DAVENPORT FL 33897",Login | Register,Login,| Register,14790.00
Re-Roof Permit,2026-04-28,"1234 REYNOLDS RD, #3, LAKELAND FL 33801",Login | Register,Login,| Register,6181.00
Re-Roof Permit,2026-04-28,"5085 MISTY LAKE DR, MULBERRY FL 33860",Login | Register,Login,| Register,12945.00
Re-Roof Permit,2026-04-28,"3512 DOREEN DR, LAKELAND FL 33810",Login | Register,Login,| Register,12900.00
Re-Roof Permit,2026-04-28,"4924 WASHINGTON ST, LAKE WALES FL 33859",Login | Register,Login,| Register,4000.00
Re-Roof Permit,2026-04-28,"2000 VARNER CIR, WINTER HAVEN FL 33884",Login | Register,Login,| Register,10900.00
Re-Roof Permit,2026-04-28,"4331 LAKE BUFFUM RD, LAKE WALES FL 33853",Login | Register,Login,| Register,4000.00
Re-Roof Permit,2026-04-28,"2819 TIGER LAKE RD, LAKE WALES FL 33898",Login | Register,Login,| Register,99800.00
Re-Roof Permit,2026-04-28,"1963 BRETTON RIDGE WAY, WINTER HAVEN FL 33884",Login | Register,Login,| Register,13500.00
Re-Roof Permit,2026-04-28,"4742 BREEZER DR, LAKE WALES FL 33853",Login | Register,Login,| Register,5500.00
Re-Roof Permit,2026-04-28,"231 KENDAL WAY, DAVENPORT FL 33837",Login | Register,Login,| Register,19346.66
Re-Roof Permit,2026-04-28,"2499 WINTERSET RD, WINTER HAVEN FL 33884",Login | Register,Login,| Register,20000.00
Re-Roof Permit,2026-04-28,"5600 CHARLIE HARRIS RD, LAKE WALES FL 33898",Login | Register,Login,| Register,4200.00
Re-Roof Permit,2026-04-28,"155 OLD BOWLING GREEN RD, BOWLING GREEN FL 33834",Login | Register,Login,| Register,3000.00
Re-Roof Permit,2026-04-28,"700 N CLEVELAND AVE, FORT MEADE FL 33841",Login | Register,Login,| Register,5400.00
Re-Roof Permit,2026-04-27,"6725 N SOCRUM LOOP RD, LAKELAND FL 33809",Login | Register,Login,| Register,74976.13
Re-Roof Permit,2026-04-27,"1907 MYAKKA CT, POINCIANA FL 34759",Login | Register,Login,| Register,8250.00
Re-Roof Permit,2026-04-27,"7919 APPLE BLOSSOM DR, LAKELAND FL 33810",Login | Register,Login,| Register,12500.00
Re-Roof Permit,2026-04-27,"4425 BURLINGTON DR, WINTER HAVEN FL 33880",Login | Register,Login,| Register,28500.00
Re-Roof Permit,2026-04-27,"2007 NW 40TH ST, #C, WINTER HAVEN FL 33881",Login | Register,Login,| Register,6200.00
Re-Roof Permit,2026-04-27,"259 ANASTASIA DR, POINCIANA FL 34759",Login | Register,Login,| Register,14500.00
Re-Roof Permit,2026-04-27,"1835 SCHOOL BUS RD, BABSON PARK FL 33827",Login | Register,Login,| Register,5500.00
Re-Roof Permit,2026-04-27,"406 KEAT AVE, AUBURNDALE FL 33823",Login | Register,Login,| Register,10725.00
Re-Roof Permit,2026-04-27,"7526 PLEASANT DR, HAINES CITY FL 33844",,,,
Re-Roof Permit,2026-04-27,"624 LIMBER LN, LAKELAND FL 33810",Login | Register,Login,| Register,16905.00
Re-Roof Permit,2026-04-27,"2644 LONGWOOD DR, LAKELAND FL 33811",Login | Register,Login,| Register,9100.00
Re-Roof Permit,2026-04-27,"404 KENSINGTON DR, DAVENPORT FL 33897",Login | Register,Login,| Register,13920.00
Re-Roof Permit,2026-04-27,"3524 LONGVIEW LN, LAKELAND FL 33812",Login | Register,Login,| Register,19500.00
Re-Roof Permit,2026-04-27,"3314 MERLOT DR, LAKELAND FL 33811",Login | Register,Login,| Register,14180.10
Re-Roof Permit,2026-04-27,"8647 LONG LAKE RD, BARTOW FL 33830",Login | Register,Login,| Register,24475.00
Re-Roof Permit,2026-04-27,"1055 VIEW POINTE WAY, LAKELAND FL 33813",Login | Register,Login,| Register,15000.00
Re-Roof Permit,2026-04-27,"400 LAKESIDE RANCH CIR, WINTER HAVEN FL 33881",Login | Register,Login,| Register,3000.00
Re-Roof Permit,2026-04-27,"1792 KINGSMILL DR, BARTOW FL 33830",Login | Register,Login,| Register,16000.00
Re-Roof Permit,2026-04-27,"1207 NW 32ND ST, WINTER HAVEN FL 33881",Login | Register,Login,| Register,11780.00
Re-Roof Permit,2026-04-27,"137 HAVERSHAM WAY, DAVENPORT FL 33897",Login | Register,Login,| Register,14424.82
Re-Roof Permit,2026-04-27,"1357 SCOTTSLAND DR, LAKELAND FL 33813",Login | Register,Login,| Register,44068.00
Re-Roof Permit,2026-04-27,"1450 NW 35TH ST, WINTER HAVEN FL 33881",Login | Register,Login,| Register,6000.00
Re-Roof Permit,2026-04-27,"224 GRANADA LN, DAVENPORT FL 33837",Login | Register,Login,| Register,15250.00
Re-Roof Permit,2026-04-27,"8232 SIMPSON LN, LAKELAND FL 33809",Login | Register,Login,| Register,9000.00
Re-Roof Permit,2026-04-26,"1618 N COLONNADES CIR, LAKELAND FL 33811",Login | Register,Login,| Register,
Re-Roof Permit,2026-04-26,"7004 ISLAND LAKE LN, LAKELAND FL 33813",Login | Register,Login,| Register,17000.00
Re-Roof Permit,2026-04-26,"115 FLORIDA GRACKLE CT, FROSTPROOF FL 33843",Login | Register,Login,| Register,19500.00
Re-Roof Permit,2026-04-26,"321 FORT MEADE RD, FROSTPROOF FL 33843",Login | Register,Login,| Register,15000.00
Re-Roof Permit,2026-04-26,"8073 KAITLIN CIR, LAKELAND FL 33810",Login | Register,Login,| Register,10000.00
Re-Roof Permit,2026-04-25,"1005 E DERBY AVE, #A, AUBURNDALE FL 33823",Login | Register,Login,| Register,9000.00
Re-Roof Permit,2026-04-24,"135 CLEARWATER CT, POLK CITY FL 33868",Login | Register,Login,| Register,13285.00
Re-Roof Permit,2026-04-24,"2123 TUDOR LN, LAKELAND FL 33810",Login | Register,Login,| Register,12500.00
Re-Roof Permit,2026-04-24,"907 BLOOMINGDALE DR, DAVENPORT FL 33837",Login | Register,Login,| Register,15700.00
Re-Roof Permit,2026-04-24,"504 HATFIELD RD, WINTER HAVEN FL 33880",Login | Register,Login,| Register,13989.00
Re-Roof Permit,2026-04-24,"206 S CITRUS GROVE BLVD, POLK CITY FL 33868",,,,
Re-Roof Permit,2026-04-24,"632 TRALEE LN, AUBURNDALE FL 33823",Login | Register,Login,| Register,11235.00
Re-Roof Permit,2026-04-24,"1029 NW BILTMORE DR, WINTER HAVEN FL 33881",Login | Register,Login,| Register,18000.00
Re-Roof Permit,2026-04-24,"516 DOVE CT, POINCIANA FL 34759",Login | Register,Login,| Register,15000.00
Re-Roof Permit,2026-04-24,"1404 NEPTUNE DR, LAKELAND FL 33801",Login | Register,Login,| Register,4500.00
Re-Roof Permit,2026-04-24,"6439 BRISTOL OAKS DR, LAKELAND FL 33811",Login | Register,Login,| Register,9100.00
Re-Roof Permit,2026-04-24,"5121 E BONNYBROOK DR, LAKELAND FL 33811",Login | Register,Login,| Register,8000.00
Re-Roof Permit,2026-04-24,"459 ARBOR LAKES DR, DAVENPORT FL 33896",Login | Register,Login,| Register,7600.00
Re-Roof Permit,2026-04-24,"4003 SUGAR CREEK LN, LAKELAND FL 33811",Login | Register,Login,| Register,4000.00
Re-Roof Permit,2026-04-24,"2045 W MEMORIAL BLVD, LAKELAND FL 33815",Login | Register,Login,| Register,57579.00
Re-Roof Permit,2026-04-24,"167 LAKEVIEW DR, HAINES CITY FL 33844",Login | Register,Login,| Register,2000.00
Re-Roof Permit,2026-04-24,"106 YALE AVE, FROSTPROOF FL 33843",Login | Register,Login,| Register,4400.00
Re-Roof Permit,2026-04-23,"3971 STALLION DR, LAKE WALES FL 33898",Login | Register,Login,| Register,2000.00
Re-Roof Permit,2026-04-23,"3503 PALM RD, LAKELAND FL 33810",Login | Register,Login,| Register,11700.00
Re-Roof Permit,2026-04-23,"5313 CORTLAND DR, DAVENPORT FL 33837",Login | Register,Login,| Register,27875.00
Re-Roof Permit,2026-04-23,"1249 CENTER ST, LAKE WALES FL 33859",Login | Register,Login,| Register,2700.00
Re-Roof Permit,2026-04-23,"404 GRIMES DR, AUBURNDALE FL 33823",Login | Register,Login,| Register,12380.00
Re-Roof Permit,2026-04-23,"233 SW COMMONWEALTH AVE, POLK CITY FL 33868",Login | Register,Login,| Register,19000.00
Re-Roof Permit,2026-04-23,"436 ELGIN BLVD, DAVENPORT FL 33897",Login | Register,Login,| Register,15569.00
Re-Roof Permit,2026-04-23,"1365 SCOTTSLAND DR, LAKELAND FL 33813",Login | Register,Login,| Register,25990.00
Re-Roof Permit,2026-04-23,"5460 LUNN RD, LAKELAND FL 33811",,,,
Re-Roof Permit,2026-04-23,"3593 N JIM KASEY LN, LAKELAND FL 33813",Login | Register,Login,| Register,16020.00
Re-Roof Permit,2026-04-23,"3590 CORTLAND DR, DAVENPORT FL 33837",Login | Register,Login,| Register,27621.51
Re-Roof Permit,2026-04-23,"1657 ROYAL RIDGE DR, DAVENPORT FL 33896",Login | Register,Login,| Register,10575.00
Re-Roof Permit,2026-04-23,"305 KEAT AVE, AUBURNDALE FL 33823",Login | Register,Login,| Register,6600.00
Re-Roof Permit,2026-04-23,"4609 LOG CABIN DR, LAKELAND FL 33810",Login | Register,Login,| Register,16795.00
Re-Roof Permit,2026-04-23,"5903 WINDWOOD DR, LAKELAND FL 33813",Login | Register,Login,| Register,22059.00
Re-Roof Permit,2026-04-23,"3518 CREEKMUR LN, LAKELAND FL 33812",Login | Register,Login,| Register,12786.21
Re-Roof Permit,2026-04-23,"1151 TOWER BLVD, LAKE WALES FL 33853",Login | Register,Login,| Register,1800.00
Re-Roof Permit,2026-04-22,"434 WESTWIND DR, DAVENPORT FL 33896",Login | Register,Login,| Register,28709.00
Re-Roof Permit,2026-04-22,"6247 HAMPTON POINTE CIR, LAKELAND FL 33813",Login | Register,Login,| Register,17272.00
Re-Roof Permit,2026-04-22,"503 HILLSIDE DR, BABSON PARK FL 33827",Login | Register,Login,| Register,8336.67
Re-Roof Permit,2026-04-22,"1434 MORNINGSIDE DR, LAKE WALES FL 33853",Login | Register,Login,| Register,18160.50
Re-Roof Permit,2026-04-22,"4331 LAKE BUFFUM RD, #1, LAKE WALES FL 33853",Login | Register,Login,| Register,1500.00
Re-Roof Permit,2026-04-22,"730 SANDWEDGE DR, FROSTPROOF FL 33843",Login | Register,Login,| Register,12995.00
Re-Roof Permit,2026-04-22,"303 OLMO CT, WINTER HAVEN FL 33880",Login | Register,Login,| Register,9500.00
Re-Roof Permit,2026-04-22,"1152 DOSSEYWOOD LN, LAKELAND FL 33811",Login | Register,Login,| Register,9975.00
Re-Roof Permit,2026-04-22,"667 WATERFORD DR, HAINES CITY FL 33844",Login | Register,Login,| Register,16900.00
Re-Roof Permit,2026-04-22,"457 NOVA DR, DAVENPORT FL 33837",Login | Register,Login,| Register,16500.00
Re-Roof Permit,2026-04-22,"3979 WARBLER DR, WINTER HAVEN FL 33880",Login | Register,Login,| Register,8400.00
Re-Roof Permit,2026-04-22,"7990 PRINCETON MANOR CIR, LAKELAND FL 33809",Login | Register,Login,| Register,12000.00
Re-Roof Permit,2026-04-22,"132 SE MILLER DR, WINTER HAVEN FL 33884",Login | Register,Login,| Register,11187.00
Re-Roof Permit,2026-04-22,"1100 ROCKWELL WAY, POINCIANA FL 34759",Login | Register,Login,| Register,96800.00
Re-Roof Permit,2026-04-22,"126 SAN CARLO RD, DAVENPORT FL 33896",Login | Register,Login,| Register,13300.00
Re-Roof Permit,2026-04-22,"4326 E THOMAS WOOD LN, WINTER HAVEN FL 33880",Login | Register,Login,| Register,23119.00
Re-Roof Permit,2026-04-22,"2400 NW 29TH ST, WINTER HAVEN FL 33881",Login | Register,Login,| Register,11578.85
Re-Roof Permit,2026-04-22,"165 OLD NICHOLS CIR, AUBURNDALE FL 33823",Login | Register,Login,| Register,22982.87
Re-Roof Permit,2026-04-22,"532 KOALA DR, POINCIANA FL 34759",,,,
Re-Roof Permit,2026-04-22,"651 CARIBOU CT, POINCIANA FL 34759",Login | Register,Login,| Register,7500.00
Re-Roof Permit,2026-04-22,"4861 SQUIRE HOLLOW DR, LAKELAND FL 33811",Login | Register,Login,| Register,7825.00
Re-Roof Permit,2026-04-22,"6454 OAKPOINT DR, LAKELAND FL 33813",Login | Register,Login,| Register,18500.00
Re-Roof Permit,2026-04-22,"1520 PINE RIDGE DR, DAVENPORT FL 33896",Login | Register,Login,| Register,14000.00
Re-Roof Permit,2026-04-21,"1375 NW 35TH ST, WINTER HAVEN FL 33881",Login | Register,Login,| Register,12500.00
Re-Roof Permit,2026-04-21,"517 HILLSIDE DR, BABSON PARK FL 33827",Login | Register,Login,| Register,13628.04
Re-Roof Permit,2026-04-21,"1123 W MERCURY DR, #A, LAKELAND FL 33810",Login | Register,Login,| Register,22840.00
Re-Roof Permit,2026-04-21,"502 BLACKBIRD LN, POINCIANA FL 34759",Login | Register,Login,| Register,16743.00
Re-Roof Permit,2026-04-21,"2351 MULLIGAN DR, LAKELAND FL 33809",Login | Register,Login,| Register,7600.00
Re-Roof Permit,2026-04-21,"1131 W MERCURY DR, #A, LAKELAND FL 33810",Login | Register,Login,| Register,22840.00
Re-Roof Permit,2026-04-21,"321 PUFFER CT, POINCIANA FL 34759",Login | Register,Login,| Register,10935.00
Re-Roof Permit,2026-04-21,"4350 NW BRIERWOOD CIR, AUBURNDALE FL 33823",Login | Register,Login,| Register,5000.00
Re-Roof Permit,2026-04-21,"2137 HILLCREST RD, AUBURNDALE FL 33823",Login | Register,Login,| Register,4500.00
Re-Roof Permit,2026-04-21,"5131 S FLORIDA AVE, LAKELAND FL 33813",Login | Register,Login,| Register,56400.00
Re-Roof Permit,2026-04-21,"516 BROOKESHIRE DR, DAVENPORT FL 33837",Login | Register,Login,| Register,18000.00
Re-Roof Permit,2026-04-21,"8532 RINDGE RD, POLK CITY FL 33868",,,,
Re-Roof Permit,2026-04-21,"5153 S ISLAND VIEW CIR, POLK CITY FL 33868",Login | Register,Login,| Register,8700.00
Re-Roof Permit,2026-04-21,"986 CUMBERLAND DR, KISSIMMEE FL 34759",Login | Register,Login,| Register,10463.00
Re-Roof Permit,2026-04-21,"11141 DEMILLE RD, POLK CITY FL 33868",Login | Register,Login,| Register,9400.00
Re-Roof Permit,2026-04-21,"105 BYRON PL, WINTER HAVEN FL 33884",Login | Register,Login,| Register,13000.00
Re-Roof Permit,2026-04-21,"190 CLEVELAND AVE, WINTER HAVEN FL 33881",Login | Register,Login,| Register,8500.00
Re-Roof Permit,2026-04-21,"2230 N LAKE REEDY BLVD, FROSTPROOF FL 33843",Login | Register,Login,| Register,2450.00
Re-Roof Permit,2026-04-21,"129 W 11TH ST, WINTER HAVEN FL 33880",Login | Register,Login,| Register,3950.00
Re-Roof Permit,2026-04-21,"1659 BIG CYPRESS BLVD, LAKELAND FL 33810",Login | Register,Login,| Register,5500.00
Re-Roof Permit,2026-04-21,"414 BASCOM CT, POLK CITY FL 33868",Login | Register,Login,| Register,10289.00
Re-Roof Permit,2026-04-21,"100 VENICE LN, POINCIANA FL 34759",Login | Register,Login,| Register,16000.00
Re-Roof Permit,2026-04-21,"146 SWEET CIR, WINTER HAVEN FL 33884",Login | Register,Login,| Register,2200.00
Re-Roof Permit,2026-04-21,"125 W 11TH ST, WINTER HAVEN FL 33880",Login | Register,Login,| Register,6000.00
Re-Roof Permit,2026-04-21,"370 CASA VERANO LN, DAVENPORT FL 33897",Login | Register,Login,| Register,10000.00
Re-Roof Permit,2026-04-21,"5318 COOPER LN, FORT MEADE FL 33841",Login | Register,Login,| Register,6300.00
Re-Roof Permit,2026-04-21,"3012 SUGAR MAPLE AVE, MULBERRY FL 33860",Login | Register,Login,| Register,9600.00
Re-Roof Permit,2026-04-21,"795 WHITFIELD ST, MULBERRY FL 33860",Login | Register,Login,| Register,25000.00
Re-Roof Permit,2026-04-21,"4313 CHERI DR, AUBURNDALE FL 33823",Login | Register,Login,| Register,4800.00
Re-Roof Permit,2026-04-21,"8 SE LAMPLIGHT LN, WINTER HAVEN FL 33884",Login | Register,Login,| Register,16000.00
