permit_type,issue_date,property_address,owner_name,job_valuation
Residential Miscellaneous Permit,2026-04-28,"11723 Winterset Cove Dr, Riverview FL 33579",,
Residential Miscellaneous Permit,2026-04-27,"4226 Alafia Blvd, Brandon FL 33511",,
Residential Miscellaneous Permit,2026-04-27,"7009 Kingsbury Cir, Tampa FL 33610",,
Residential Miscellaneous Permit,2026-04-27,"3307 Anna George Dr, Valrico FL 33596",,
Residential Miscellaneous Permit,2026-04-27,"3826 Misty Landing Dr, Valrico FL 33594",,
Residential Miscellaneous Permit,2026-04-27,"8314 Willow Beach Dr, Riverview FL 33578",,
Residential Miscellaneous Permit,2026-04-27,"11531 Trotting Down Dr, Odessa FL 33556",,
Residential Miscellaneous Permit,2026-04-27,"1011 Bal Harbour Dr, Apollo Beach FL 33572",,
Residential Miscellaneous Permit,2026-04-27,"16478 Horse Yard Pl, Odessa FL 33556",,
Residential Miscellaneous Permit,2026-04-27,"6698 W Knights Griffin Rd, Plant City FL 33565",,
Residential Miscellaneous Permit,2026-04-27,"1410 Atlantic Dr, Ruskin FL 33570",,
Residential Miscellaneous Permit,2026-04-27,"116 Silver Falls Dr, Apollo Beach FL 33572",,
Residential Miscellaneous Permit,2026-04-27,"405 Lime Tree Rd, Tampa FL 33619",,
Residential Miscellaneous Permit,2026-04-27,"3704 Alafia Creek St, Plant City FL 33567",,
Residential Miscellaneous Permit,2026-04-27,"12526 Bergstrom Bay Dr, Riverview FL 33579",,
Residential Miscellaneous Permit,2026-04-27,"510 Pinewalk Dr, Brandon FL 33510",,
